question,category
"Who is Albert Einstein?","Person"
"Who founded Microsoft?","Person"
"Who is the president?","Person"
"Who invented the light bulb?","Person"
"Who wrote Harry Potter?","Person"
"Who is Serena Williams?","Person"
"Who discovered gravity?","Person"
"Who is the CEO of Tesla?","Person"
"Who painted Starry Night?","Person"
"Who is Frida Kahlo?","Person"
"Where is Paris located?","Location"
"Where is Tokyo?","Location"
"Where is the Taj Mahal?","Location"
"Where can I find Mount Everest?","Location"
"Where is the Amazon River?","Location"
"Where is Antarctica?","Location"
"Where is the Sahara Desert?","Location"
"Where is New York City?","Location"
"Where is the Great Barrier Reef?","Location"
"Where is Niagara Falls?","Location"
"When did World War I start?","Time"
"When was iPhone invented?","Time"
"When does school start?","Time"
"When is Thanksgiving?","Time"
"When did dinosaurs exist?","Time"
"When was the first email sent?","Time"
"When does the train arrive?","Time"
"When is the meeting?","Time"
"When was Python created?","Time"
"When did the Renaissance begin?","Time"
"What is machine learning?","Definition"
"What is photosynthesis?","Definition"
"What is gravity?","Definition"
"What is democracy?","Definition"
"What is blockchain?","Definition"
"What is quantum computing?","Definition"
"What does HTTP stand for?","Definition"
"What is renewable energy?","Definition"
"What is artificial intelligence?","Definition"
"What is the Pythagorean theorem?","Definition"
"Why does it rain?","Reason"
"Why is the sky blue?","Reason"
"Why do we sleep?","Reason"
"Why do apples fall?","Reason"
"Why do cats meow?","Reason"
"Why is ocean water salty?","Reason"
"Why do seasons change?","Reason"
"Why do birds fly south?","Reason"
"Why do we need oxygen?","Reason"
"Why do metals conduct electricity?","Reason"
"How does a rocket work?","Method"
"How to make coffee?","Method"
"How to solve x^2 + 2x + 1 = 0?","Method"
"How does the heart work?","Method"
"How to program in Python?","Method"
"How does WiFi work?","Method"
"How to bake bread?","Method"
"How does photosynthesis occur?","Method"
"How to tie shoelaces?","Method"
"How does a battery work?","Method"

